sq_mt_built,n_rooms,n_bathrooms,floor,rent_price,house_type_id,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,District_code
115.0,3,2,1,1011,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
117.0,3,2,1,1050,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
117.0,3,2,1,1048,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
117.0,3,2,1,1052,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
118.0,3,2,1,977,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
115.0,3,2,5,1046,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
97.0,4,1,3,666,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
106.0,3,2,3,1071,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
103.0,3,2,3,1025,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
103.0,3,2,1,1024,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
103.0,3,2,5,1027,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
114.0,3,2,2,1080,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
150.0,2,1,11,777,4,False,False,False,False,False,False,False,True,False,True,False,False,True,21
140.0,3,3,7,1128,2,False,True,True,True,True,False,True,True,False,True,False,True,False,21
58.0,3,1,2,471,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
65.0,3,1,1,512,1,False,True,True,False,True,False,False,True,False,False,False,False,False,21
110.0,4,2,1,833,1,False,False,True,False,True,False,False,True,True,False,False,False,False,21
173.0,4,2,2,1116,1,False,True,True,True,True,False,True,False,False,True,True,False,True,21
75.0,2,1,3,766,3,False,True,True,True,True,False,False,True,False,True,False,False,False,21
90.0,1,1,7,861,3,True,False,False,True,True,False,True,True,False,True,False,False,True,21
125.0,3,2,1,948,1,False,True,True,True,True,False,False,False,False,True,True,False,True,21
58.0,2,1,10,471,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
92.0,3,1,6,780,1,False,True,False,True,True,False,False,True,False,False,False,False,False,21
70.0,2,1,3,613,1,False,True,True,False,True,False,False,False,False,False,False,False,False,21
54.0,2,1,2,583,1,False,False,False,False,True,False,False,False,True,False,False,False,False,21
52.0,2,1,1,539,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
108.0,3,1,2,705,1,False,True,True,False,True,False,False,True,False,False,False,False,False,21
65.0,2,1,3,568,1,False,True,True,False,True,False,False,True,False,False,False,False,False,21
102.0,3,2,3,656,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
80.0,2,1,3,736,1,False,True,True,True,True,False,False,True,False,True,True,True,True,21
108.0,2,1,4,933,2,False,True,False,True,True,False,True,True,False,True,False,False,True,21
80.0,3,2,4,979,1,False,True,True,True,True,False,True,False,False,False,True,True,True,21
16.0,3,1,1,600,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
54.0,2,1,3,493,1,False,False,True,False,True,False,False,True,False,False,False,False,False,21
70.0,2,2,4,948,1,False,True,True,True,True,False,True,False,False,True,True,True,True,21
99.0,2,2,11,725,1,False,False,True,True,True,False,False,False,False,False,False,False,False,21
123.0,4,2,3,1135,1,False,True,False,True,True,False,False,True,False,False,False,True,False,21
64.0,3,1,5,557,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
107.0,3,2,6,1005,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
76.0,2,2,6,813,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
109.0,3,2,5,988,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
108.0,3,2,5,979,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
103.0,3,2,6,1026,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
103.0,3,2,1,1052,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
143.0,3,2,10,1094,1,True,False,False,True,True,False,True,False,False,True,False,True,True,21
99.0,3,2,6,1024,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
100.0,3,2,3,1024,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
176.0,2,2,6,1108,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
87.0,2,2,2,884,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
106.0,3,2,4,1084,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
113.0,3,2,10,1100,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
115.0,3,2,1,1131,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
129.0,3,2,7,1194,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
115.0,3,2,6,1148,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
110.0,2,2,10,686,1,False,True,False,False,True,False,False,True,False,True,False,False,False,21
90.0,3,2,2,901,1,False,True,False,True,True,False,False,True,False,True,False,False,False,21
60.0,2,1,1,654,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
54.0,2,1,11,691,1,False,False,False,False,False,False,False,True,False,False,False,False,False,21
80.0,3,1,10,725,1,False,True,True,False,True,False,False,True,False,False,False,False,False,21
73.0,2,1,1,656,1,False,False,True,True,True,False,False,False,False,False,True,False,False,21
122.0,3,2,10,847,1,False,False,False,True,True,False,False,False,False,False,False,False,True,21
98.0,3,2,10,1111,1,False,False,True,True,True,False,True,True,False,True,True,True,True,21
97.0,3,2,10,1100,1,False,True,True,True,True,False,True,True,False,True,True,True,True,21
111.0,3,2,7,1194,3,False,True,True,True,True,False,True,True,False,True,True,True,True,21
99.0,3,2,3,1071,1,False,True,True,True,True,False,True,True,False,True,True,True,True,21
77.0,3,1,1,598,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
85.0,3,1,4,698,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
90.0,3,2,2,994,1,False,True,True,True,True,False,True,False,False,True,False,True,True,21
133.0,2,1,6,1105,1,False,True,True,True,True,False,True,True,True,True,True,True,True,21
60.0,3,1,2,531,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
133.0,3,3,7,1135,1,False,False,True,True,True,False,True,True,False,True,False,False,False,21
85.0,2,1,2,642,1,False,True,False,False,True,False,False,False,True,False,False,False,False,21
59.0,2,2,3,797,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
59.0,2,2,1,796,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
58.0,2,2,4,800,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
79.0,3,2,1,925,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
60.0,2,2,10,796,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
121.0,3,2,3,1094,1,False,True,True,True,True,False,True,True,True,True,True,True,True,21
126.0,3,2,2,1187,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
134.0,4,2,1,1250,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
111.0,3,2,1,1094,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
122.0,3,2,2,1164,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
125.0,3,2,1,1174,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
102.0,2,2,1,1066,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
104.0,3,2,1,1131,1,False,True,True,True,True,False,True,True,False,True,True,True,True,21
66.0,3,1,1,561,1,False,False,True,True,True,False,False,True,False,False,False,False,False,21
95.0,2,1,2,762,1,False,False,False,False,True,False,False,True,True,False,False,False,False,21
74.0,3,1,1,539,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
97.0,2,1,10,948,1,False,False,True,True,True,False,True,True,False,True,True,False,True,21
90.0,2,2,7,1038,3,False,True,True,True,True,False,True,False,False,True,False,False,True,21
130.0,4,2,3,1086,1,False,True,True,True,True,False,True,True,False,False,False,True,False,21
49.0,2,1,10,466,1,False,False,False,True,True,False,False,False,False,False,True,True,False,21
151.0,3,2,6,1235,1,False,True,True,True,True,False,True,False,False,True,True,True,True,21
69.0,3,1,4,570,1,False,False,False,False,True,False,False,True,False,True,False,False,False,21
170.0,3,2,8,1262,3,False,True,True,True,True,False,True,True,False,True,True,True,True,21
48.0,2,1,11,489,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
98.0,3,2,7,1161,1,False,True,True,True,True,False,True,False,False,True,False,True,True,21
50.0,1,1,7,686,1,False,True,True,True,True,False,True,False,False,True,True,False,True,21
136.0,3,2,5,1009,3,False,False,True,True,True,False,False,True,False,False,True,False,True,21
80.0,3,1,3,791,1,False,True,True,True,True,False,False,False,False,True,False,False,False,21
95.0,3,1,2,868,1,False,True,True,False,True,False,False,True,False,False,False,False,False,21
56.0,3,1,5,447,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
43.0,1,1,10,466,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
72.0,3,1,3,625,1,False,False,False,True,True,False,False,True,False,False,False,False,False,21
100.0,4,2,1,762,1,False,False,False,True,True,False,False,False,False,True,False,False,False,21
70.0,3,1,4,625,1,False,False,True,True,True,False,False,True,False,False,False,False,False,21
60.0,2,1,10,446,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
60.0,2,1,2,446,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
91.0,3,2,3,666,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
74.0,3,1,2,539,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
110.0,3,2,5,1135,1,False,True,True,True,True,False,True,False,False,True,False,True,True,21
83.0,3,1,3,501,1,False,False,False,False,True,False,False,True,True,False,False,False,False,21
65.0,2,1,11,479,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
58.0,3,1,3,561,1,False,False,False,False,True,False,False,False,True,False,False,False,False,21
115.0,3,2,6,967,1,False,True,False,True,True,False,True,False,False,False,False,False,True,21
82.0,3,1,4,625,1,False,True,True,False,True,False,False,False,True,False,False,False,False,21
83.0,3,1,10,686,1,False,False,True,True,True,False,False,False,False,False,False,False,False,21
90.0,2,1,10,954,1,False,True,True,True,True,False,True,False,False,True,False,True,False,21
95.0,2,2,5,864,1,False,False,True,True,True,False,False,False,False,True,True,False,False,21
89.0,3,1,10,780,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
178.0,4,2,5,1200,1,False,True,True,True,True,False,True,False,True,True,True,True,True,21
59.0,2,1,2,613,1,False,True,False,False,True,False,False,True,False,False,False,False,False,21
100.0,4,1,10,798,1,False,False,False,True,True,False,False,False,False,False,True,False,False,21
68.0,3,1,4,517,1,False,True,False,False,True,False,False,True,False,False,False,False,False,21
50.0,2,1,2,566,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
114.0,4,2,2,1006,1,False,True,True,True,True,False,False,True,False,False,True,False,False,21
81.0,3,2,3,762,1,False,True,True,True,True,False,False,False,False,True,True,True,True,21
91.0,2,2,5,1004,1,False,True,True,True,True,False,True,True,False,True,True,True,True,21
95.0,3,1,3,539,1,False,False,False,False,True,False,False,False,True,False,False,False,False,21
80.0,3,1,10,705,1,False,True,True,False,True,False,False,True,False,False,False,False,False,21
60.0,2,1,3,561,1,False,False,False,False,False,False,False,True,False,False,False,False,False,21
80.0,3,1,3,798,1,False,False,True,True,True,False,False,True,False,False,False,False,False,21
60.0,2,1,5,413,1,False,True,False,True,True,False,False,False,False,False,False,False,False,21
50.0,1,1,6,777,1,False,True,True,True,True,False,True,False,False,True,True,True,True,21
136.0,3,1,1,690,1,False,False,False,False,True,False,False,True,True,True,False,False,False,21
96.0,2,2,7,948,1,False,True,True,True,True,False,True,True,False,True,True,True,True,21
71.0,2,2,2,910,1,False,True,True,True,True,False,True,False,False,True,True,False,False,21
74.0,2,1,1,705,1,False,False,True,False,True,False,False,False,False,False,False,False,False,21
65.0,2,1,2,583,1,False,False,True,False,True,False,False,False,False,False,False,False,False,21
93.0,3,1,9,780,1,False,True,True,True,True,False,False,True,False,False,False,False,False,21
75.0,3,1,2,553,1,False,False,True,False,True,False,False,True,False,False,False,False,False,21
63.0,3,1,11,539,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
65.0,3,1,4,494,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
115.0,3,1,1,762,2,False,False,True,False,True,False,False,True,False,True,False,False,False,21
63.0,2,1,2,458,1,False,False,False,True,True,False,False,False,False,False,True,False,False,21
72.0,3,1,6,703,1,False,False,False,True,True,False,False,True,False,False,False,False,False,21
100.0,2,2,10,762,1,False,True,True,True,True,False,False,False,False,True,True,True,True,21
90.0,3,2,3,762,1,False,True,True,True,True,False,False,True,False,True,False,True,True,21
66.0,3,1,2,485,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
102.0,3,2,5,994,1,False,True,False,True,True,False,False,True,False,False,True,False,False,21
105.0,2,1,6,881,1,False,True,True,True,True,False,False,True,False,False,True,False,True,21
95.0,4,1,4,698,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
120.0,3,1,2,901,1,False,False,False,True,True,False,False,False,False,False,False,False,False,21
90.0,3,2,4,985,1,False,True,True,True,True,False,True,False,False,True,True,False,True,21
64.0,3,1,10,449,1,False,False,True,False,True,False,False,True,False,False,False,False,False,21
80.0,3,1,3,857,1,False,True,False,True,True,False,False,True,False,False,False,False,False,21
120.0,3,2,2,1187,1,False,True,True,False,True,False,False,True,True,True,False,False,True,21
82.0,2,2,6,1122,1,False,True,True,True,True,False,True,False,False,True,False,True,True,21
81.0,3,1,3,609,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
103.0,3,2,4,1067,1,False,True,True,True,True,False,True,False,False,True,False,False,True,21
63.0,3,1,4,446,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
70.0,3,1,3,535,1,False,True,False,True,True,False,False,False,False,False,False,False,False,21
60.0,3,1,2,420,1,False,True,False,False,False,False,False,False,False,False,False,False,False,21
45.0,2,1,3,561,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
95.0,3,1,2,666,1,False,True,True,False,True,False,False,True,True,False,True,False,False,21
70.0,3,1,2,625,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
71.0,3,1,1,740,1,False,False,False,True,True,False,False,False,False,False,False,False,False,21
70.0,3,1,3,686,1,False,False,False,True,True,False,False,False,False,False,False,False,False,21
98.0,4,2,10,1009,1,False,False,True,True,True,False,False,True,False,False,False,False,False,21
55.0,3,1,2,499,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
115.0,4,1,1,867,1,False,True,True,False,True,False,False,True,True,False,False,False,False,21
78.0,3,1,4,654,1,False,False,False,False,False,False,False,True,False,False,False,False,False,21
68.0,3,1,4,465,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
120.0,3,1,2,851,1,False,True,True,False,True,False,True,True,False,True,False,True,True,21
64.0,3,1,1,428,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
92.0,4,1,5,791,1,False,False,False,True,True,False,False,False,False,True,False,False,False,21
154.0,3,2,3,1148,1,False,True,True,True,True,False,True,True,False,True,False,True,True,21
105.0,3,2,10,851,1,False,True,True,False,True,False,False,True,False,True,False,False,False,21
70.0,2,1,10,658,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
93.0,3,1,2,803,1,False,False,False,True,True,False,False,True,False,False,False,False,False,21
53.0,3,1,3,601,1,False,False,False,False,False,False,False,True,False,False,False,False,False,21
86.0,3,1,4,662,1,False,True,True,True,False,False,False,True,False,False,True,False,False,21
75.0,3,2,1,674,1,False,False,False,False,True,False,False,False,False,True,False,False,False,21
85.0,3,1,10,686,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
65.0,2,1,10,535,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
