title,sq_mt_built,n_rooms,n_bathrooms,floor,rent_price,buy_price,house_type_id,is_renewal_needed,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,Neighborhood_code,Neighborhood_name,District_code,District_name
Piso en venta en calle Villajoyosa,65.0,3,1,1,744,150000,Pisos,True,False,False,True,True,True,False,True,False,False,False,False,False,en trámite,False,133, Los Rosales,21, Villaverde
Piso en venta en paseo de Alberto Palacios,70.0,2,1,3,728,145900,Pisos,False,False,True,True,False,True,False,False,True,True,False,False,False,E,False,134, San Andrés,21, Villaverde
Piso en venta en calle Laguna del Marquesado,75.0,1,1,1,505,92500,Pisos,False,False,True,True,True,True,False,False,False,True,False,True,False,en trámite,False,134, San Andrés,21, Villaverde
Piso en venta en carretera de Villaverde a Vallecas,123.0,3,2,7,1195,298000,Pisos,False,False,True,True,True,True,False,True,False,False,True,False,False,en trámite,True,133, Los Rosales,21, Villaverde
Piso en venta en camino Leganés,61.0,3,1,2,539,99900,Pisos,False,False,True,False,False,True,False,False,True,False,False,False,False,en trámite,False,134, San Andrés,21, Villaverde
Piso en venta en San Andrés,72.0,2,1,3,698,138000,Pisos,False,False,True,True,False,True,False,False,False,True,False,False,False,en trámite,True,134, San Andrés,21, Villaverde
"Piso en venta en Concepción de la Oliva, 21",61.0,3,1,5,539,100000,Pisos,False,False,False,False,False,True,False,False,False,True,False,False,False,en trámite,False,131, Butarque,21, Villaverde
Piso en venta en San Neviano - Villaverde,71.0,3,1,1,672,131400,Pisos,True,False,False,False,False,True,False,False,True,False,False,False,False,en trámite,False,134, San Andrés,21, Villaverde
Piso en venta en Los Rosales,87.0,3,1,2,521,96000,Pisos,True,False,True,False,False,True,False,False,True,False,False,False,False,E,False,133, Los Rosales,21, Villaverde
Piso en venta en paseo de Alberto Palacios,60.0,2,1,Otro,758,154000,Pisos,False,False,True,True,False,True,False,False,True,False,False,False,False,A,False,134, San Andrés,21, Villaverde
Piso en venta en calle la Dolorosa,78.0,4,1,2,731,146700,Pisos,False,False,False,True,True,True,False,False,False,False,False,True,False,G,False,132, Los Ángeles,21, Villaverde
Piso en venta en calle Encarnación Oviol,52.0,1,1,1,505,92500,Pisos,False,False,True,False,False,False,False,False,False,False,False,False,False,G,False,133, Los Rosales,21, Villaverde
Dúplex en venta en calle ESTEFANITA,125.0,3,3,7,1135,275000,Dúplex,False,False,True,False,True,True,False,True,True,False,True,False,False,D,False,131, Butarque,21, Villaverde
"Piso en venta en calle Arroyo de la Bulera, 31",97.0,2,2,Bajo,1111,266122,Pisos,False,True,False,False,True,True,False,True,True,False,False,False,True,no indicado,False,131, Butarque,21, Villaverde
"Piso en venta en calle Arroyo de la Bulera, 31",93.0,2,2,7,1004,228273,Pisos,False,True,False,False,True,True,False,True,True,False,False,False,True,no indicado,False,131, Butarque,21, Villaverde
Piso en venta en calle de la del Manojo de Rosas,103.0,4,2,1,823,171900,Pisos,False,False,False,False,True,True,False,False,False,False,True,False,False,en trámite,False,132, Los Ángeles,21, Villaverde
Ático en venta en Villaverde a perales,83.0,2,2,7,1004,228273,Áticos,False,False,True,True,True,True,False,True,True,False,True,True,True,en trámite,True,131, Butarque,21, Villaverde
Piso en venta en calle de Juan José Martínez Seco,45.0,2,1,1,471,85000,Pisos,True,False,False,False,False,True,False,False,False,True,False,False,False,E,False,133, Los Rosales,21, Villaverde
Piso en venta en carretera de Villaverde a Vallecas,120.0,3,2,7,1195,298000,Pisos,False,False,True,True,True,False,False,True,False,False,True,False,False,en trámite,True,133, Los Rosales,21, Villaverde
"Piso en venta en calle la del Soto del Parral, 59",74.0,3,1,1,702,139000,Pisos,False,False,False,True,False,True,False,False,False,False,True,False,False,no indicado,False,132, Los Ángeles,21, Villaverde
"Dúplex en venta en calle Estefanita, 6",125.0,3,2,7,1128,272500,Dúplex,False,False,False,True,True,True,False,True,True,False,True,False,True,F,False,131, Butarque,21, Villaverde
Piso en venta en calle Berrocal,126.0,4,2,Bajo,1135,275000,Pisos,False,False,True,True,True,True,False,True,True,False,True,True,True,en trámite,True,131, Butarque,21, Villaverde
"Ático en venta en calle Euskalduna, 14",158.0,3,2,4,1172,289000,Áticos,False,False,True,True,True,True,False,True,True,False,True,False,True,en trámite,True,131, Butarque,21, Villaverde
Piso en venta en Los Rosales,65.0,2,1,Otro,604,115000,Pisos,False,False,False,False,False,True,False,False,False,False,False,False,False,G,False,133, Los Rosales,21, Villaverde
Piso en venta en calle Alcocer,108.0,3,2,4,847,179000,Pisos,False,False,False,True,True,True,False,False,True,False,False,False,False,en trámite,False,132, Los Ángeles,21, Villaverde
Piso en venta en San Andrés,62.0,2,1,Bajo,638,123000,Pisos,False,False,True,False,True,True,False,False,False,False,False,False,False,E,False,134, San Andrés,21, Villaverde
Piso en venta en calle Topacio,51.0,2,1,3,492,89500,Pisos,True,False,False,False,False,True,False,False,True,False,False,False,False,en trámite,False,133, Los Rosales,21, Villaverde
"Piso en venta en calle Calcio, 15",112.0,3,2,3,1172,289000,Pisos,False,False,True,True,True,True,False,True,False,False,True,True,True,E,True,131, Butarque,21, Villaverde
"Piso en venta en calle Camas, 2",109.0,3,2,2,968,216278,Pisos,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,131, Butarque,21, Villaverde
"Piso en venta en calle Camas, 2",107.0,3,2,1,940,207503,Pisos,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,131, Butarque,21, Villaverde
"Piso en venta en calle Camas, 2",76.0,2,2,3,790,162793,Pisos,False,True,False,False,True,True,False,True,False,False,True,False,False,no indicado,True,131, Butarque,21, Villaverde
"Piso en venta en calle Camas, 2",105.0,3,2,1,933,204999,Pisos,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,131, Butarque,21, Villaverde
"Piso en venta en calle Camas, 2",109.0,3,2,4,982,220879,Pisos,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,131, Butarque,21, Villaverde
"Piso en venta en calle Camas, 2",108.0,3,2,4,974,218258,Pisos,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,131, Butarque,21, Villaverde
"Piso en venta en calle Camas, 2",109.0,3,2,Bajo,1014,231855,Pisos,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,131, Butarque,21, Villaverde
"Piso en venta en calle Camas, 2",76.0,2,2,4,793,163397,Pisos,False,True,False,False,True,True,False,True,False,False,True,False,False,no indicado,True,131, Butarque,21, Villaverde
"Piso en venta en calle Camas, 2",76.0,2,2,2,783,160759,Pisos,False,True,False,False,True,True,False,True,False,False,True,False,False,no indicado,True,131, Butarque,21, Villaverde
"Piso en venta en calle Camas, 2",108.0,3,2,3,970,217169,Pisos,False,True,False,False,True,True,False,True,True,False,True,False,False,no indicado,True,131, Butarque,21, Villaverde
