sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,house_type_id,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,District_code
115.0,3,2,2,233789,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
115.0,3,2,1,230789,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
117.0,3,2,1,244171,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
117.0,3,2,1,243468,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
117.0,3,2,1,244798,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
118.0,3,2,1,219235,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
115.0,3,2,5,242789,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
97.0,4,1,3,130000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
106.0,3,2,3,251569,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
103.0,3,2,3,235402,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
103.0,3,2,1,235172,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
103.0,3,2,5,236227,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
114.0,3,2,2,254710,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
150.0,2,1,11,159000,4,False,False,False,False,False,False,False,True,False,True,False,False,True,21
140.0,3,3,7,272500,2,False,True,True,True,True,False,True,True,False,True,False,True,False,21
58.0,3,1,2,85000,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
65.0,3,1,1,94000,1,False,True,True,False,True,False,False,True,False,False,False,False,False,21
110.0,4,2,1,175000,1,False,False,True,False,True,False,False,True,True,False,False,False,False,21
173.0,4,2,2,268000,1,False,True,True,True,True,False,True,False,False,True,True,False,True,21
75.0,2,1,3,156000,3,False,True,True,True,True,False,False,True,False,True,False,False,False,21
90.0,1,1,7,183159,3,True,False,False,True,True,False,True,True,False,True,False,False,True,21
125.0,3,2,1,210000,1,False,True,True,True,True,False,False,False,False,True,True,False,True,21
58.0,2,1,10,85000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
92.0,3,1,6,159900,1,False,True,False,True,True,False,False,True,False,False,False,False,False,21
70.0,2,1,3,117000,1,False,True,True,False,True,False,False,False,False,False,False,False,False,21
54.0,2,1,2,110000,1,False,False,False,False,True,False,False,False,True,False,False,False,False,21
52.0,2,1,1,100000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
108.0,3,1,2,140000,1,False,True,True,False,True,False,False,True,False,False,False,False,False,21
65.0,2,1,3,106500,1,False,True,True,False,True,False,False,True,False,False,False,False,False,21
102.0,3,2,3,127500,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
80.0,2,1,3,148000,1,False,True,True,True,True,False,False,True,False,True,True,True,True,21
108.0,2,1,4,205000,2,False,True,False,True,True,False,True,True,False,True,False,False,True,21
80.0,3,2,4,220000,1,False,True,True,True,True,False,True,False,False,False,True,True,True,21
16.0,3,1,1,114000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
54.0,2,1,3,89900,1,False,False,True,False,True,False,False,True,False,False,False,False,False,21
70.0,2,2,4,210000,1,False,True,True,True,True,False,True,False,False,True,True,True,True,21
99.0,2,2,11,145000,1,False,False,True,True,True,False,False,False,False,False,False,False,False,21
123.0,4,2,3,275000,1,False,True,False,True,True,False,False,True,False,False,False,True,False,21
64.0,3,1,5,104000,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
107.0,3,2,6,228629,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
76.0,2,2,6,169021,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
109.0,3,2,5,223022,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
108.0,3,2,5,220072,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
103.0,3,2,6,235718,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
103.0,3,2,1,245000,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
143.0,3,2,10,260000,1,True,False,False,True,True,False,True,False,False,True,False,True,True,21
99.0,3,2,6,235000,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
100.0,3,2,3,235000,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
176.0,2,2,6,265000,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
87.0,2,2,2,190000,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
106.0,3,2,4,256115,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
113.0,3,2,10,261989,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
115.0,3,2,1,273353,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
129.0,3,2,7,297621,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
115.0,3,2,6,279778,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
110.0,2,2,10,135000,1,False,True,False,False,True,False,False,True,False,True,False,False,False,21
90.0,3,2,2,195000,1,False,True,False,True,True,False,False,True,False,True,False,False,False,21
60.0,2,1,1,126900,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
54.0,2,1,11,136400,1,False,False,False,False,False,False,False,True,False,False,False,False,False,21
80.0,3,1,10,145000,1,False,True,True,False,True,False,False,True,False,False,False,False,False,21
73.0,2,1,1,127500,1,False,False,True,True,True,False,False,False,False,False,True,False,False,21
122.0,3,2,10,179000,1,False,False,False,True,True,False,False,False,False,False,False,False,True,21
98.0,3,2,10,266122,1,False,False,True,True,True,False,True,True,False,True,True,True,True,21
97.0,3,2,10,261989,1,False,True,True,True,True,False,True,True,False,True,True,True,True,21
111.0,3,2,7,297621,3,False,True,True,True,True,False,True,True,False,True,True,True,True,21
99.0,3,2,3,251569,1,False,True,True,True,True,False,True,True,False,True,True,True,True,21
77.0,3,1,1,113500,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
85.0,3,1,4,138000,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
90.0,3,2,2,225000,1,False,True,True,True,True,False,True,False,False,True,False,True,True,21
133.0,2,1,6,264000,1,False,True,True,True,True,False,True,True,True,True,True,True,True,21
60.0,3,1,2,98260,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
133.0,3,3,7,275000,1,False,False,True,True,True,False,True,True,False,True,False,False,False,21
85.0,2,1,2,124000,1,False,True,False,False,True,False,False,False,True,False,False,False,False,21
59.0,2,2,3,164513,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
59.0,2,2,1,164416,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
58.0,2,2,4,165435,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
79.0,3,2,1,202629,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
60.0,2,2,10,164242,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
121.0,3,2,3,260000,1,False,True,True,True,True,False,True,True,True,True,True,True,True,21
126.0,3,2,2,294900,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
134.0,4,2,1,319900,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
111.0,3,2,1,259900,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
122.0,3,2,2,285900,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
125.0,3,2,1,289900,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
102.0,2,2,1,249900,1,True,False,True,True,True,False,True,True,False,True,False,True,True,21
104.0,3,2,1,273352,1,False,True,True,True,True,False,True,True,False,True,True,True,True,21
66.0,3,1,1,104900,1,False,False,True,True,True,False,False,True,False,False,False,False,False,21
95.0,2,1,2,155000,1,False,False,False,False,True,False,False,True,True,False,False,False,False,21
74.0,3,1,1,100000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
97.0,2,1,10,210000,1,False,False,True,True,True,False,True,True,False,True,True,False,True,21
90.0,2,2,7,240000,3,False,True,True,True,True,False,True,False,False,True,False,False,True,21
130.0,4,2,3,257000,1,False,True,True,True,True,False,True,True,False,False,False,True,False,21
49.0,2,1,10,84000,1,False,False,False,True,True,False,False,False,False,False,True,True,False,21
151.0,3,2,6,314000,1,False,True,True,True,True,False,True,False,False,True,True,True,True,21
69.0,3,1,4,107000,1,False,False,False,False,True,False,False,True,False,True,False,False,False,21
170.0,3,2,8,325000,3,False,True,True,True,True,False,True,True,False,True,True,True,True,21
48.0,2,1,11,89000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
98.0,3,2,7,284900,1,False,True,True,True,True,False,True,False,False,True,False,True,True,21
50.0,1,1,7,135000,1,False,True,True,True,True,False,True,False,False,True,True,False,True,21
136.0,3,2,5,230000,3,False,False,True,True,True,False,False,True,False,False,True,False,True,21
